node	isRegulator	AnimalTFDB	RegNetwork
PAK7	-	-	-
PEBP1	-	-	-
MAPK3	+	-	+
GP5	-	-	-
AKT2	-	-	-
GP1BA	-	-	-
GP1BB	-	-	-
PRKCA	-	-	-
PRKCB	-	-	-
CDC25A	-	-	-
PRKCE	-	-	-
PAK6	-	-	-
AKT3	-	-	-
PRKCD	-	-	-
BCL2	-	-	-
MAP2K2	-	-	-
KSR2	-	-	-
PLIN2	-	-	-
ABHD5	-	-	-
PDGFB	-	-	-
PDGFRA	-	-	-
CRKL	-	-	-
FGF9	-	-	-
EFNA1	-	-	-
PDGFC	-	-	-
FGF13	-	-	-
FGF16	-	-	-
FIGF	-	-	-
FGF20	-	-	-
CBL	+	TcF	-
PDGFA	-	-	-
FURIN	-	-	-
PDGFD	-	-	-
KIT	-	-	-
FLT4	-	-	-
CSF1R	-	-	-
FLT1	-	-	-
FGFR1	-	-	-
KDR	-	-	-
FGFR2	-	-	-
MCM7	+	-	+
CDKN1B	-	-	-
ASF1B	-	-	-
CDT1	-	-	-
GMNN	+	TcF	-
CDK1	-	-	-
MCM4	+	-	+
CDKN1A	-	-	-
FEN1	-	-	-
CDK2	+	TcF	-
MCM6	+	-	+
MCM10	-	-	-
GINS1	-	-	-
CDC7	-	-	-
GINS4	-	-	-
GINS3	-	-	-
GINS2	-	-	-
CHEK1	-	-	-
CCNB2	-	-	-
ATR	-	-	-
ATRIP	-	-	-
CLSPN	-	-	-
MCM3	+	-	+
MCM2	+	-	+
CCNB1	-	-	-
CDC6	-	-	-
MAD2L1	-	-	-
MCM5	+	-	+
DBF4	-	-	-
ACVR1B	-	-	-
ACVRL1	-	-	-
ACVR2B	-	-	-
CYTH2	-	-	-
CYTH3	-	-	-
GABARAP	-	-	-
GABRA1	-	-	-
GABARAPL1	-	-	-
GABRA2	-	-	-
OVGP1	-	-	-
COL2A1	-	-	-
SNAI2	+	TF	+
DMRT1	+	TF	+
NR5A1	+	TF	+
AMH	-	-	-
FOXA2	+	TF	+
RUNX3	+	TF	+
SNAI1	+	TF	+
FOXL2	+	TF	+
CREB1	+	TF	+
FOXD3	+	TF	+
COL11A2	-	-	-
RUNX2	+	TF	+
SOX9	+	TF	+
RDX	-	-	-
C1D	+	TcF	-
APP	-	-	-
GRM6	-	-	-
GNAT3	-	-	-
GNAI2	-	-	-
GNAI1	-	-	-
CYB5D2	-	-	-
PLXNB3	-	-	-
PLXNB1	-	-	-
HK2	-	-	-
HAAO	-	-	-
ACMSD	-	-	-
HOXB6	+	TF	+
KAT2B	+	CRF	+
EHMT2	+	CRF	+
HDAC2	+	CRF	+
ASF1A	-	-	-
HNF1B	+	TF	+
ELP3	-	-	-
CSRP2BP	-	-	-
DR1	+	TcF	+
CDK8	+	TcF	-
CUL1	-	-	-
CCDC101	-	-	-
IRF2	+	TF	+
ARID4A	+	TF	-
H2AFZ	-	-	-
JUN	+	TF	+
CHD4	+	CRF	+
GJA1	-	-	-
ERCC6	+	-	+
HDAC10	+	CRF	+
CCND1	-	-	-
CCNC	+	TcF	-
ATXN7L3	+	TcF	-
HDAC5	+	CRF	+
CHD3	+	CRF	-
H2AFV	-	-	-
ARID4B	+	TF	+
HDAC7	+	CRF	+
GDI1	-	-	-
RAB5B	-	-	-
LRRK2	-	-	-
EEA1	-	-	-
GDI2	-	-	-
PIK3C3	-	-	-
DNMT3A	+	-	+
DNMT3B	+	TcF	-
MRPL2	-	-	-
MRPL4	-	-	-
RPL13	-	-	-
RPL10	-	-	-
MRPL24	-	-	-
GNB2L1	-	-	-
ETF1	-	-	-
EIF5B	+	-	+
EIF6	-	-	-
MAGOH	-	-	-
MRPL3	-	-	-
EEF1A1	-	-	-
EEF2	-	-	-
RPL10A	-	-	-
PABPC6	-	-	-
NPSR1	-	-	-
EEF1G	-	-	-
RPL11	-	-	-
RPL10L	-	-	-
MRPL15	-	-	-
RPL12	-	-	-
FAU	-	-	-
MRPL13	-	-	-
GM8994	-	-	-
CHMP1A	-	-	-
RPA1	-	-	-
ERCC1	-	-	-
POLR2E	+	-	+
MSH6	-	-	-
MSH4	-	-	-
GTF2H1	+	-	+
POLA1	-	-	-
CDK4	-	-	-
MSH5	-	-	-
POLE	-	-	-
HUS1	-	-	-
RECQL5	-	-	-
POLE2	-	-	-
RAD17	-	-	-
MSH3	-	-	-
RAD1	-	-	-
DMC1	-	-	-
ERCC4	-	-	-
RFC4	-	-	-
RFC2	-	-	-
MSH2	-	-	-
POLA2	-	-	-
PRIM1	-	-	-
ORC2	+	TcF	+
ERCC5	-	-	-
DDB2	+	-	+
RAD51	+	-	+
PCNA	-	-	-
RAD23B	-	-	-
RFC1	+	TcF	+
ORC6	-	-	-
MRE11A	-	-	-
RAD9B	-	-	-
BRCA2	+	TcF	+
RFC3	-	-	-
POLD1	-	-	-
OBFC1	-	-	-
POLR2F	+	-	+
RECQL4	-	-	-
FANCA	-	-	-
H2AFX	-	-	-
ERCC2	+	TcF	+
FANCM	-	-	-
POLR1A	+	-	+
MCM8	-	-	-
RFC5	-	-	-
POLR1C	+	-	+
POLR1B	+	-	+
ORC1	-	-	-
RECQL	-	-	-
ATM	+	-	+
DNA2	-	-	-
POLR1E	+	-	+
RAD52	-	-	-
BLM	+	TcF	-
PNPLA2	-	-	-
PCNT	-	-	-
TUBB5	-	-	-
NEDD1	-	-	-
TUBD1	-	-	-
MZT2	-	-	-
TUBGCP2	-	-	-
PLK4	-	-	-
TUBGCP3	-	-	-
PLK1	-	-	-
MZT1	-	-	-
CEP135	-	-	-
TUBB4B	-	-	-
TUBG2	-	-	-
AKAP9	-	-	-
TUBG1	-	-	-
BTRC	-	-	-
TUBB4A	-	-	-
TUBA4A	-	-	-
TUBA1A	-	-	-
CKAP5	-	-	-
DYNC1I2	-	-	-
ODF2	-	-	-
CDK5RAP2	-	-	-
BRF1	+	-	+
POLR3D	+	-	+
POLR2H	+	-	+
POLR3A	+	-	+
CRCP	-	-	-
POLR3C	+	TcF	+
POLR2B	+	-	+
BRF2	+	TcF	-
GTF3C3	+	-	+
POLR2L	-	-	-
POLR1D	+	-	+
POLR3B	+	-	+
POLR2C	+	-	+
DDX3X	-	-	-
IL12RB1	-	-	-
IL12A	-	-	-
IL12B	-	-	-
BID	-	-	-
FAS	-	-	-
CASP8	-	-	-
FADD	-	-	-
EZR	-	-	-
CFLAR	-	-	-
FASL	-	-	-
CSF2	-	-	-
IL13	-	-	-
IL4	-	-	-
IL2	-	-	-
IL13RA1	-	-	-
IL2RG	-	-	-
APBA2	-	-	-
DBH	-	-	-
ARID3B	+	TF	+
ARID3A	+	TF	+
SMARCB1	+	CRF	+
FOS	+	TF	+
PHF10	+	-	+
MLLT1	+	-	+
SMARCA2	+	CRF	+
HELLS	-	-	-
ACTL6A	+	TcF	-
DPF1	-	-	-
JUNB	+	TF	+
POLR2A	+	TcF	+
MYSM1	+	TF	-
MLLT3	+	-	+
ARID3C	+	TF	-
ASH1L	+	-	+
JUND	+	TF	+
ARID2	+	TF	-
SMARCA4	+	CRF	+
KAT2A	+	CRF	-
ARID1A	+	TF	+
PBRM1	+	TF	+
ARID1B	+	TF	+
ACTL6B	+	TcF	-
DPF3	-	-	-
DBNL	-	-	-
EPN1	-	-	-
CLTB	-	-	-
HIP1R	-	-	-
CLTC	-	-	-
EPS15	-	-	-
CLTA	-	-	-
EPN3	-	-	-
EPS15L1	-	-	-
EPN2	-	-	-
TOP1MT	-	-	-
TDP1	-	-	-
MUS81	-	-	-
SRSF1	+	-	+
HOXA1	+	TF	+
SLC3A2	-	-	-
CCL3	-	-	-
AOX1	-	-	-
ADH7	-	-	-
STAT5B	+	TF	+
PTPN6	-	-	-
EPOR	-	-	-
IL12RB2	-	-	-
IFNGR1	-	-	-
OSMR	-	-	-
IFNAR1	-	-	-
IFNAR2	-	-	-
STAT4	+	TF	+
PTPN1	-	-	-
PIK3CA	-	-	-
IL6RA	-	-	-
IL4RA	-	-	-
PIK3R2	-	-	-
IL10RA	-	-	-
PIK3CB	-	-	-
