node	isRegulator	AnimalTFDB	RegNetwork
TALDO1	-	-	-
RPE	-	-	-
PKM	-	-	-
PKLR	-	-	-
BANF1	-	-	-
EMD	-	-	-
MAP3K3	-	-	-
MAP2K3	-	-	-
MAP2K6	-	-	-
GNB3	-	-	-
CHUK	-	-	-
GNB1	-	-	-
GNB2	-	-	-
MAP2K5	-	-	-
MAP2K4	-	-	-
GNB4	-	-	-
ARNT	+	TF	+
AP2B1	-	-	-
AP4E1	-	-	-
AP4B1	-	-	-
AP1S1	-	-	-
AP1S2	-	-	-
AP1S3	-	-	-
BLVRA	-	-	-
SRPK3	-	-	-
ABCD1	-	-	-
CAMK2B	-	-	-
CAMK2A	-	-	-
CAMK2D	-	-	-
BCAP31	-	-	-
IFT27	-	-	-
IFT46	-	-	-
CLUAP1	-	-	-
HSPB11	-	-	-
IFT172	-	-	-
CD3G	-	-	-
CD247	-	-	-
CD3D	+	TcF	-
B2M	-	-	-
CD3E	-	-	-
TRAPPC6A	-	-	-
TRAPPC3	-	-	-
TRAPPC4	-	-	-
TRAPPC5	-	-	-
TRAPPC2	-	-	-
ARL3	-	-	-
RAB34	-	-	-
BBC3	+	-	+
NR1H3	+	TF	+
HNF4G	+	TF	+
HNF4A	+	TF	+
ABCG1	-	-	-
CYP7A1	-	-	-
ABCA1	-	-	-
ABCG8	-	-	-
NR0B2	+	TF	+
NR1H2	+	TF	+
PRPF8	-	-	-
POLR2I	+	-	+
EFTUD2	-	-	-
PRPF19	-	-	-
RBM5	-	-	-
HNRNPK	+	-	+
HNRNPU	-	-	-
DHX38	+	-	+
RBMXL1	-	-	-
LSM10	-	-	-
HNRNPR	-	-	-
HNRNPA2B1	-	-	-
HNRNPA3	-	-	-
FUS	+	-	+
HNRNPC	-	-	-
RBMX	+	-	+
PLRG1	+	TcF	+
HNRNPM	-	-	-
PTBP1	-	-	-
CLGN	-	-	-
DUSP3	-	-	-
RIOK2	-	-	-
SMG8	-	-	-
SMG9	-	-	-
SMG7	-	-	-
SMG6	-	-	-
PLAUR	-	-	-
PLAU	-	-	-
NEDD8	+	TcF	-
UBA6	-	-	-
UCHL3	-	-	-
PAX5	+	TF	+
PAXIP1	-	-	-
PAX8	+	TF	+
NCOA6	+	-	+
KDM6A	-	-	-
ASH2L	+	CRF	+
PAX2	+	TF	+
RMND5A	-	-	-
RHOC	-	-	-
PPP1R12C	-	-	-
LIMK1	-	-	-
RAC3	-	-	-
GNA13	-	-	-
ARHGAP31	-	-	-
RACGAP1	-	-	-
FGD2	-	-	-
RALBP1	-	-	-
ARHGDIG	-	-	-
PGGT1B	-	-	-
FGD1	-	-	-
ARHGEF2	-	-	-
ARHGDIB	-	-	-
ARHGEF6	-	-	-
OPHN1	-	-	-
ARHGAP6	-	-	-
ARAP3	-	-	-
CHN2	-	-	-
ARHGEF4	-	-	-
RAC2	-	-	-
OBSCN	-	-	-
ARHGAP33	-	-	-
ARHGAP44	-	-	-
PKN2	-	-	-
PKN3	-	-	-
MYL12B	-	-	-
ARHGAP29	-	-	-
GMIP	-	-	-
FGD3	-	-	-
ARHGAP15	-	-	-
ARHGAP20	-	-	-
ARHGAP4	-	-	-
PPP1R12A	-	-	-
ARHGAP10	-	-	-
ARAP2	-	-	-
RAC1	-	-	-
PLEKHG5	-	-	-
PPP1R12B	-	-	-
PRUNE2	-	-	-
MYL9	-	-	-
MYH11	-	-	-
PLEKHG2	-	-	-
INPP5B	-	-	-
ARHGAP26	-	-	-
ARHGEF1	-	-	-
HMHA1	-	-	-
MCF2	-	-	-
ARHGAP11A	-	-	-
MYH10	-	-	-
ARHGAP17	-	-	-
ARAP1	-	-	-
ARHGAP23	-	-	-
MYH14	-	-	-
ECT2	-	-	-
ARHGAP5	-	-	-
MCF2L	-	-	-
ARHGEF7	-	-	-
ARHGAP1	-	-	-
CHN1	-	-	-
ARHGAP36	-	-	-
KALRN	-	-	-
DIAP1	-	-	-
PKN1	-	-	-
MYO9A	-	-	-
FGD4	-	-	-
BCR	-	-	-
MYL6	-	-	-
MYO9B	-	-	-
DLC1	-	-	-
ARHGAP32	-	-	-
TBP	+	-	+
PPARD	+	TF	+
NR4A1	+	TF	+
ESRRA	+	TF	+
NR0B1	+	TF	+
ESRRG	+	TF	+
NR4A2	+	TF	+
NR4A3	+	TF	+
NR2F1	+	TF	+
NR2C2AP	-	-	-
NRBF2	+	TcF	+
CIAO1	-	-	-
NARFL	-	-	-
FAM96A	-	-	-
CIAPIN1	-	-	-
MMS19	+	TcF	+
FAM96B	-	-	-
ANGPTL4	-	-	-
APOB	-	-	-
CD320	-	-	-
PDCD6IP	-	-	-
PDS5B	-	-	-
REC8	-	-	-
ESCO2	-	-	-
ESCO1	-	-	-
PDS5A	-	-	-
CENPE	-	-	-
NIPBL	-	-	-
ESPL1	+	-	+
MTA3	+	TF	+
RAD21L	-	-	-
GMPR2	-	-	-
NCAN	-	-	-
L1CAM	-	-	-
SNX9	-	-	-
DNM3	-	-	-
DNM2	-	-	-
FOXJ1	+	TF	+
MYNN	+	TF	+
RANBP3	-	-	-
RAN	+	TcF	-
NDUFA11	-	-	-
BMP8B	-	-	-
NR2F6	+	TF	+
BABAM1	-	-	-
HOXB5	+	TF	+
HOXA5	+	TF	+
HOXB7	+	TF	+
MEIS3	+	TF	+
HLTF	+	TcF	+
ATAD5	-	-	-
EXO1	-	-	-
FBXO18	-	-	-
AES	+	-	+
ALYREF	+	-	+
PPP1R42	-	-	-
AAR2	-	-	-
LSM4	-	-	-
LSM3	-	-	-
CD2BP2	-	-	-
NAA38	-	-	-
PATL1	-	-	-
ALYREF2	-	-	-
HFM1	-	-	-
LSM5	-	-	-
DDX6	-	-	-
GM4340	-	-	-
GM4302	-	-	-
GIPC1	-	-	-
GNAQ	-	-	-
GNA14	-	-	-
GIPC2	-	-	-
CHRM1	-	-	-
GNA11	-	-	-
GNA15	-	-	-
MTNR1B	-	-	-
CHRM3	-	-	-
MTNR1A	-	-	-
PTAFR	-	-	-
OPRL1	-	-	-
HRH1	-	-	-
CHRM5	-	-	-
RANBP2	-	-	-
SNRPB2	-	-	-
SMN1	-	-	-
PHF5A	+	TcF	-
PRMT5	-	-	-
POLR2D	+	-	+
CLNS1A	-	-	-
SNRNP35	-	-	-
MAGOHB	-	-	-
POLR2J	+	-	+
LSM7	-	-	-
SF3B3	-	-	-
RBM25	-	-	-
GEMIN7	-	-	-
GEMIN6	-	-	-
SNRPC	-	-	-
CPSF3	-	-	-
SNRNP70	-	-	-
PRPF40A	-	-	-
SF3B4	-	-	-
SNRPA	-	-	-
DDX20	+	TcF	+
POLR2G	+	-	+
SNRPB	+	-	+
SNRNP200	-	-	-
GEMIN4	-	-	-
SF3B5	-	-	-
SNRNP40	-	-	-
PRPF39	-	-	-
PRPF40B	-	-	-
SF3A2	-	-	-
GEMIN5	-	-	-
PTEN	-	-	-
SLC22A5	-	-	-
PDGFRB	-	-	-
PODXL	-	-	-
SLC9A3R2	-	-	-
LPAR2	-	-	-
SLC9A3	-	-	-
NUDT19	-	-	-
PHLPP1	-	-	-
SLC34A1	-	-	-
SGK3	-	-	-
SGK1	-	-	-
PRKG2	-	-	-
PHLPP2	-	-	-
CD44	-	-	-
EPHA2	-	-	-
RHOA	+	TcF	-
RHOBTB1	-	-	-
ROCK2	-	-	-
RHOBTB2	-	-	-
RHOQ	-	-	-
RHOH	-	-	-
RHOF	-	-	-
EPHB1	-	-	-
RHOD	-	-	-
RHOU	-	-	-
RHOV	-	-	-
RHOJ	-	-	-
RHOB	-	-	-
SRC	-	-	-
PARD6A	-	-	-
RHOG	-	-	-
ANK1	-	-	-
NME1	-	-	-
PARD3	-	-	-
SCRIB	-	-	-
UCK1	-	-	-
ACTA1	-	-	-
AXL	-	-	-
TGFB1	+	TcF	-
KLF5	+	TF	+
ENG	-	-	-
PLG	-	-	-
MMP9	-	-	-
SPARC	-	-	-
CTGF	-	-	-
CLU	-	-	-
SDC2	-	-	-
SMAD7	+	TF	+
ACVR1C	-	-	-
A2M	-	-	-
MUG1	-	-	-
BGN	-	-	-
GAS6	-	-	-
MMP2	-	-	-
FMOD	-	-	-
FKBP1A	-	-	-
LTBP4	-	-	-
EGR2	+	TF	+
IGF1	-	-	-
STRAP	-	-	-
LTBP3	-	-	-
MUG2	-	-	-
SMURF1	-	-	-
SMURF2	+	-	+
DCN	-	-	-
CCDC97	-	-	-
FGF10	-	-	-
BOC	-	-	-
FGF8	-	-	-
BMP2	-	-	-
SHH	-	-	-
CDON	-	-	-
FGF4	-	-	-
GAS1	-	-	-
HHIP	-	-	-
LRP2	-	-	-
PAX6	+	TF	+
ATOH1	+	TF	+
GTF2A1	+	TcF	+
CTDP1	+	-	+
GM3258	-	-	-
CLPP	-	-	-
MED25	+	TcF	-
MED29	-	-	-
MED15	+	TcF	+
MED22	-	-	-
MED24	+	TcF	-
MED6	+	TcF	+
MED11	-	-	-
MED31	+	TcF	+
MED10	+	TcF	-
MED4	+	TcF	+
MED20	+	TcF	+
MED27	+	TcF	+
MED21	+	TcF	+
MED17	+	TcF	+
CDK19	-	-	-
MED30	+	TcF	+
MED13	+	TcF	+
MED26	+	TcF	+
MED23	+	TcF	+
MED14	+	TcF	+
MED13L	-	-	-
MED18	-	-	-
MED19	-	-	-
MED28	-	-	-
MED16	+	TcF	+
COL4A3BP	-	-	-
PKD2	-	-	-
CSE1L	-	-	-
NAA20	-	-	-
CCDC130	-	-	-
PRKRA	-	-	-
EIF2AK2	+	-	+
STX1A	-	-	-
NAPA	-	-	-
GOSR1	-	-	-
VPS45	-	-	-
STX7	-	-	-
VAMP2	-	-	-
STX8	-	-	-
GOSR2	-	-	-
SCFD1	-	-	-
NDC80	-	-	-
BET1L	-	-	-
STX6	-	-	-
NAPB	-	-	-
STX12	-	-	-
VAMP3	-	-	-
RINT1	-	-	-
USO1	-	-	-
STX2	-	-	-
VAMP1	-	-	-
VPS33B	-	-	-
RAB6A	-	-	-
CLN3	-	-	-
RAB6B	-	-	-
SEC22A	-	-	-
BET1	-	-	-
COG3	-	-	-
VAMP4	-	-	-
VAMP7	-	-	-
VTI1B	-	-	-
VAMP8	-	-	-
STX17	-	-	-
STX3	-	-	-
VPS41	-	-	-
STX5A	-	-	-
VAMP5	-	-	-
SEC22C	-	-	-
STX16	-	-	-
VTI1A	-	-	-
NSF	-	-	-
STX1B	-	-	-
USE1	-	-	-
STX18	-	-	-
BAZ1B	+	CRF	+
MLXIPL	+	TF	+
PPP2R1A	-	-	-
PPP2CB	-	-	-
PPP2CA	-	-	-
PPP2R5D	-	-	-
CDK5	-	-	-
PPP2R1B	-	-	-
CACNB4	-	-	-
PPP1R1B	-	-	-
PEX1	-	-	-
PEX6	-	-	-
PEX5	-	-	-
PEX19	-	-	-
PEX5L	-	-	-
PEX26	-	-	-
PEX14	+	TcF	-
MRPL14	-	-	-
MRPL11	-	-	-
MRPL19	-	-	-
IMP3	-	-	-
MRPL1	-	-	-
MRPL12	-	-	-
EFTUD1	-	-	-
GFM1	-	-	-
GTPBP10	-	-	-
MRPL17	-	-	-
GFM2	-	-	-
MRPL16	-	-	-
MEA1	-	-	-
DPY30	-	-	-
DMGDH	-	-	-
GRIN2C	-	-	-
DLG4	-	-	-
GRIN2A	-	-	-
GRIN2D	-	-	-
GRIN2B	-	-	-
CAMK2G	-	-	-
DLG3	-	-	-
ARFGAP1	-	-	-
CARM1	+	CRF	-
FLII	-	-	-
TOP3A	-	-	-
RMI1	-	-	-
RMI2	-	-	-
ERCC6L	-	-	-
TDRD3	+	TcF	-
QTRT1	-	-	-
IGF2R	-	-	-
CHAF1A	+	-	+
CBX1	-	-	-
IL17RA	-	-	-
IL17A	-	-	-
IL17F	-	-	-
IL17C	-	-	-
LAMA5	-	-	-
LAMB1	-	-	-
LAMA1	-	-	-
DAG1	-	-	-
LAMA3	-	-	-
PTGIS	-	-	-
PTGES	-	-	-
MAP2K7	-	-	-
CD40	-	-	-
DUSP10	-	-	-
DNAJC19	-	-	-
TIMM23	-	-	-
PAM16	-	-	-
TIMM22	-	-	-
DNAJC15	-	-	-
TIMM44	-	-	-
HSPA9	-	-	-
TIMM21	-	-	-
SCP2	-	-	-
GRPEL1	-	-	-
MOGS	-	-	-
TIMM17B	-	-	-
GRPEL2	-	-	-
TIMM17A	-	-	-
AP1M1	-	-	-
AMPH	-	-	-
AP2A2	-	-	-
AP1B1	-	-	-
AP1M2	-	-	-
PNKP	-	-	-
APEX2	-	-	-
APEX1	+	TcF	+
BCAM	-	-	-
APOC2	-	-	-
APOA2	-	-	-
APOE	-	-	-
APOC3	-	-	-
APOA1	-	-	-
APOA5	-	-	-
APOA4	-	-	-
PRKACB	-	-	-
PRKACA	-	-	-
AKAP1	-	-	-
PRKAR1B	-	-	-
PRKAR2A	-	-	-
PRKAR2B	-	-	-
PRKAR1A	-	-	-
GNAS	-	-	-
AKAP3	-	-	-
AKAP10	-	-	-
CDK6	-	-	-
CCND3	-	-	-
CCNE2	-	-	-
AP1G2	-	-	-
AP1G1	-	-	-
MYH4	-	-	-
RAB3IP	-	-	-
RAB10	-	-	-
EXOC7	-	-	-
EXOC2	-	-	-
EHD1	-	-	-
OPTN	-	-	-
RAB14	-	-	-
EXOC3	-	-	-
EXOC4	-	-	-
EXOC6	-	-	-
EXOC8	-	-	-
MYO1C	-	-	-
RAB3IL1	-	-	-
EXOC1	-	-	-
MYO5A	-	-	-
EXOC6B	-	-	-
EXOC5	-	-	-
RAB11A	-	-	-
ALDH1A7	-	-	-
CYP2C29	-	-	-
ALDH1A2	-	-	-
ALDH1A1	-	-	-
STK11	-	-	-
CDC37	-	-	-
SIRT1	+	-	+
PPM1A	-	-	-
PRKAA2	-	-	-
PRKAG2	-	-	-
PRKAB1	-	-	-
PRKAB2	-	-	-
FOXO3	+	TF	+
FOXO1	+	TF	+
FOXO4	+	TF	+
CDC37L1	-	-	-
PRKAA1	-	-	-
PRKAG3	-	-	-
MARK4	-	-	-
RPS6KB1	-	-	-
ETV4	+	TF	+
PRKAG1	-	-	-
EFNA2	-	-	-
ATP5D	-	-	-
2010107E04RIK	-	-	-
ATP5B	-	-	-
ATP5A1	-	-	-
ATP5C1	-	-	-
PPP5C	-	-	-
HSP90B1	-	-	-
LIPE	-	-	-
FABP4	-	-	-
DNM1	-	-	-
EBI3	-	-	-
IRF3	+	TF	+
IRF1	+	TF	+
IFIH1	-	-	-
IKBKE	-	-	-
ATF2	+	TF	+
HERC4	-	-	-
NUP85	-	-	-
NUP153	-	-	-
RAD21	+	TcF	-
AHCTF1	+	-	+
KIF18A	-	-	-
RAE1	-	-	-
NUDC	-	-	-
NUP210	-	-	-
NUP205	-	-	-
HERC1	-	-	-
NUP54	-	-	-
NUP43	-	-	-
NUP133	-	-	-
NUP88	-	-	-
NEK9	-	-	-
NUP62	+	TcF	-
KIF2B	-	-	-
NUP160	-	-	-
NUP37	-	-	-
NUP107	-	-	-
KIF2C	-	-	-
NUP214	-	-	-
NUP98	-	-	-
NFATC2IP	-	-	-
HERC2	-	-	-
NUP93	-	-	-
NXF3	-	-	-
CDCA8	-	-	-
HDAC8	+	CRF	+
NUP62CL	-	-	-
GCK	-	-	-
CLIP1	-	-	-
NXF2	-	-	-
KIF2A	-	-	-
CENPA	-	-	-
MATR3	+	-	+
NUP155	-	-	-
NUP50	-	-	-
NUTF2	-	-	-
EDA	-	-	-
GRK5	-	-	-
GPRC6A	-	-	-
CCKAR	-	-	-
GNRHR	-	-	-
CCKBR	-	-	-
GNG2	-	-	-
GHSR	-	-	-
GPR65	-	-	-
C130060K24RIK	-	-	-
BAMBI	-	-	-
DAAM2	-	-	-
CSNK2A2	-	-	-
DAAM1	-	-	-
CSNK2A1	-	-	-
CXXC4	-	-	-
EIF2B2	-	-	-
EIF2AK4	-	-	-
EIF2B5	-	-	-
EIF2B1	-	-	-
EIF2B3	-	-	-
EIF2B4	-	-	-
GRIA1	-	-	-
EPS8	-	-	-
HCK	-	-	-
GAB2	-	-	-
FCGR2B	-	-	-
FCGR1	-	-	-
ELMO1	-	-	-
DOCK2	-	-	-
FCGR3	-	-	-
MRPL32	-	-	-
MRPL22	-	-	-
MRPL36	-	-	-
MRPL27	-	-	-
MRPL20	-	-	-
MRPL33	-	-	-
MRPL23	-	-	-
MRPL34	-	-	-
MKNK2	-	-	-
MAPK11	+	-	+
EIF4E2	-	-	-
CACNA1E	-	-	-
CACNB3	-	-	-
CACNA1B	-	-	-
CACNA1H	-	-	-
CACNA2D2	-	-	-
CACNA1D	-	-	-
CACNA1C	-	-	-
CACNA1F	-	-	-
CACNA1A	-	-	-
DDX23	-	-	-
PLXNA3	-	-	-
RND1	-	-	-
PLXNA2	-	-	-
PLXNA1	-	-	-
MET	-	-	-
PLXNA4	-	-	-
GRID1	-	-	-
GRIK2	-	-	-
CD79A	-	-	-
BLK	-	-	-
CD19	-	-	-
BTK	-	-	-
BLNK	-	-	-
CALR	+	TcF	-
CANX	-	-	-
P4HB	-	-	-
PDIA3	-	-	-
DDOST	-	-	-
GANAB	-	-	-
LGALS3	-	-	-
GANC	-	-	-
ELAVL3	-	-	-
RAB3B	-	-	-
ALB	-	-	-
NOS3	-	-	-
NOSIP	-	-	-
RPL8	-	-	-
RPS11	-	-	-
EIF1B	-	-	-
RPLP1	-	-	-
RPL30	-	-	-
MRPS18C	-	-	-
RPL19	-	-	-
EIF4A2	-	-	-
MRPS18A	-	-	-
EIF3A	-	-	-
MRRF	-	-	-
MRPS5	-	-	-
MRPS15	-	-	-
RPL6	-	-	-
RPL28	-	-	-
MRPS11	-	-	-
EIF3C	-	-	-
EIF3F	-	-	-
RPL4	-	-	-
MRPS2	-	-	-
FBL	-	-	-
MRPS6	-	-	-
EIF1	-	-	-
RPL21	-	-	-
RPL37	-	-	-
EIF4H	-	-	-
MRPS7	-	-	-
MRPS16	-	-	-
MRPS9	-	-	-
RPL18A	-	-	-
RPL37A	-	-	-
EIF2S3X	-	-	-
MRPS12	-	-	-
RPL7	-	-	-
RPL18	-	-	-
PLEC	-	-	-
NSA2	-	-	-
RPL26	-	-	-
RPL27A	-	-	-
RPL35A	-	-	-
RPL15	-	-	-
RPL17	-	-	-
RPL36	-	-	-
RPL35	-	-	-
RPL29	-	-	-
RPL3	-	-	-
RPL38	-	-	-
RPL5	-	-	-
RPLP2	-	-	-
RPLP0	-	-	-
RPL27	-	-	-
RPL7L1	-	-	-
EIF3D	-	-	-
EIF3B	-	-	-
RPL23	-	-	-
RPL22	-	-	-
RPL23A	-	-	-
EIF3I	-	-	-
RPL7A	-	-	-
RPL9	-	-	-
RPS10	-	-	-
RPL39	-	-	-
MRPS10	-	-	-
RPL13A	-	-	-
MRPS14	-	-	-
FBLL1	-	-	-
RPL3L	-	-	-
RPL14	-	-	-
CTR9	+	CRF	+
CDC73	-	-	-
PAF1	-	-	-
LEO1	-	-	-
DCAF10	-	-	-
NCSTN	-	-	-
DLL1	-	-	-
BACE1	-	-	-
APH1B	-	-	-
DNER	-	-	-
APH1A	-	-	-
DLL4	-	-	-
APH1C	-	-	-
ASPH	-	-	-
CASQ1	-	-	-
CRHR2	-	-	-
CALCA	-	-	-
ADM	-	-	-
CRH	-	-	-
ADCYAP1	-	-	-
AARS2	-	-	-
ASNS	-	-	-
TPM3	-	-	-
ACTC1	-	-	-
TNNI3	-	-	-
TNNT2	-	-	-
ALDH4A1	-	-	-
DGCR14	-	-	-
FOSB	+	TF	+
KIF5B	-	-	-
KIF5C	-	-	-
KLC4	-	-	-
KLC1	-	-	-
KIF5A	-	-	-
CKM	-	-	-
DDB1	+	-	+
COMP	+	-	+
CD36	-	-	-
CD47	-	-	-
GRM1	-	-	-
TGFB3	-	-	-
TGFB2	-	-	-
CALB2	-	-	-
BRIP1	+	TcF	+
GDF15	-	-	-
INSIG2	-	-	-
HMGCR	-	-	-
CHAF1B	+	TcF	-
AMFR	-	-	-
INSIG1	-	-	-
IPMK	-	-	-
ADCK4	-	-	-
BRD8	+	CRF	-
EHHADH	-	-	-
ECHS1	-	-	-
DLST	-	-	-
ACOX1	-	-	-
DLD	-	-	-
GCDH	-	-	-
DNAJB11	-	-	-
DNASE2A	-	-	-
PSMD2	-	-	-
RAD23A	-	-	-
PSMB1	-	-	-
PSMD3	-	-	-
PSMC5	-	-	-
PSMC1	-	-	-
NGLY1	-	-	-
PSMC6	-	-	-
GART	-	-	-
PSMD13	-	-	-
PSMD14	-	-	-
PSMB2	-	-	-
PSMC2	-	-	-
PSMC4	-	-	-
NRIP3	-	-	-
BRCC3	-	-	-
PSMD7	-	-	-
PSMD8	-	-	-
DDI1	-	-	-
4931431F19RIK	-	-	-
PSMC3	+	TcF	-
DDI2	-	-	-
PSMD4	-	-	-
NRIP2	-	-	-
MPND	-	-	-
LTV1	-	-	-
NOB1	-	-	-
BYSL	-	-	-
NQO1	-	-	-
PPFIA3	-	-	-
GBE1	-	-	-
GYS1	-	-	-
AGL	-	-	-
EPM2A	-	-	-
GYG	-	-	-
LIN7B	-	-	-
CASK	-	-	-
IL7R	-	-	-
CRLF2	-	-	-
IL7	-	-	-
EFNB3	-	-	-
ARNTL	+	TF	+
GTPBP4	-	-	-
RPL39L	-	-	-
RPL22L1	-	-	-
GRM3	-	-	-
LMO1	+	TcF	+
LMO3	+	-	+
FANCL	-	-	-
FANCG	-	-	-
APITD1	-	-	-
FANCI	-	-	-
FANCD2	-	-	-
FANCC	-	-	-
FANCE	-	-	-
FANCF	-	-	-
FANCB	-	-	-
PIAS4	+	TF	+
NR3C1	+	TF	+
JAK2	+	CRF	-
IL2RA	-	-	-
LYN	-	-	-
FLT3	-	-	-
SOCS7	-	-	-
PRL3B1	-	-	-
JAK3	-	-	-
SOCS6	-	-	-
LEP	-	-	-
PIAS3	+	TF	+
PIAS1	+	TF	+
GH	-	-	-
PRL	-	-	-
PIAS2	+	TF	+
LCK	-	-	-
MAP3K11	-	-	-
BLVRB	-	-	-
BCAS2	-	-	-
CWC15	-	-	-
CTNNBL1	+	-	+
BAZ2A	+	TF	-
DMAP1	+	TcF	+
DDX56	-	-	-
DDX27	-	-	-
NSUN6	-	-	-
NIP7	-	-	-
NOP2	-	-	-
NOC2L	+	TcF	-
EIF3G	-	-	-
EIF3E	-	-	-
EIF2A	-	-	-
EIF2S3Y	-	-	-
EIF2S2	-	-	-
ANGPTL2	-	-	-
HIRA	+	TcF	+
EP400	+	CRF	+
ADH1	-	-	-
DCAF7	-	-	-
DYRK2	-	-	-
KIF11	-	-	-
KIF18B	-	-	-
KIFC2	-	-	-
KIF19A	-	-	-
NRP1	-	-	-
FES	-	-	-
IKBKG	+	-	+
BIRC3	-	-	-
BCL10	+	TcF	-
ERC1	-	-	-
CARD11	-	-	-
CNTN2	-	-	-
BIRC2	+	TcF	-
CYLD	-	-	-
HSPA1B	-	-	-
WARS	-	-	-
AFG3L2	-	-	-
PHB2	+	-	+
MYOD1	+	TF	+
CD274	-	-	-
CD22	-	-	-
CD4	-	-	-
CTLA4	-	-	-
PDCD1	-	-	-
INSRR	-	-	-
GAB1	-	-	-
CSK	-	-	-
MST1R	-	-	-
INPPL1	-	-	-
BTLA	-	-	-
KLRD1	-	-	-
PDCD1LG2	-	-	-
LCP2	-	-	-
INPP5D	-	-	-
ENO2	-	-	-
ALDOC	-	-	-
ALDOB	-	-	-
BPGM	-	-	-
ALDOART1	-	-	-
ALDOA	-	-	-
EMG1	-	-	-
DCAF13	-	-	-
DDX52	-	-	-
DHX37	-	-	-
IRF5	+	TF	+
IRF4	+	TF	+
ATP6V0A4	-	-	-
ATP6V0A2	-	-	-
ATP6V0A1	-	-	-
RBM28	-	-	-
PNO1	-	-	-
DIMT1	-	-	-
UTP20	-	-	-
IMP4	-	-	-
NAT10	-	-	-
NOL6	-	-	-
MPHOSPH10	-	-	-
NOL10	-	-	-
NOC4L	-	-	-
NOP14	-	-	-
RRP9	-	-	-
RRP12	-	-	-
PWP2	-	-	-
UTP15	-	-	-
HEATR1	-	-	-
RCL1	-	-	-
TRCG1	-	-	-
RSL1D1	-	-	-
TBL3	-	-	-
KRR1	-	-	-
PPY	-	-	-
HTR1A	-	-	-
OPRK1	-	-	-
NMUR1	-	-	-
NPY	-	-	-
SST	-	-	-
LPAR3	-	-	-
HTR5A	-	-	-
HRH4	-	-	-
PTGER3	-	-	-
NMUR2	-	-	-
NPY1R	-	-	-
NPBWR1	-	-	-
HRH3	-	-	-
OPRD1	-	-	-
HTR1B	-	-	-
LPAR1	-	-	-
RXFP4	-	-	-
RXFP3	-	-	-
HTR1F	-	-	-
NPY5R	-	-	-
HTR1D	-	-	-
NPY2R	-	-	-
OPRM1	-	-	-
MCHR1	-	-	-
CRY1	+	TcF	+
SIN3B	+	TcF	+
RBBP7	+	TcF	+
MECP2	+	TF	+
MORF4L2	-	-	-
SAP30	+	CRF	+
PHF12	+	TcF	+
OGT	-	-	-
KLF16	+	TF	-
MSL3L2	-	-	-
MYT1L	+	TF	+
FOXK1	+	TF	-
MYT1	+	TF	+
MORF4L1	-	-	-
BRMS1L	-	-	-
RBBP4	+	CRF	+
MSL3	+	CRF	-
BRMS1	-	-	-
SETD2	+	CRF	-
SIN3A	+	TcF	+
DDX54	+	TcF	+
DDX24	-	-	-
TMED10	-	-	-
TMED2	-	-	-
RPS5	-	-	-
RPS18	-	-	-
MTIF3	-	-	-
RPS14	-	-	-
RPS3	-	-	-
RPS4X	-	-	-
RPS29	-	-	-
RPS27L	-	-	-
RPS23	-	-	-
RPS21	-	-	-
EIF3K	-	-	-
RPS15	-	-	-
RPS12	-	-	-
RPS26	-	-	-
RPS25	-	-	-
RPS17	-	-	-
RPS13	-	-	-
RPS2	-	-	-
RPS15A	-	-	-
RPS16	-	-	-
RPS19	-	-	-
RPS28	-	-	-
RPS20	-	-	-
RPS24	-	-	-
RPS27	-	-	-
BAX	-	-	-
BCL2A1A	-	-	-
BCL2L11	-	-	-
PLD2	-	-	-
MAPK9	+	-	+
RALB	-	-	-
PLD1	-	-	-
MAPK10	+	-	+
TRAF6	+	TcF	-
CORO1C	-	-	-
PLA2G6	-	-	-
ETFB	-	-	-
ETFA	-	-	-
TRP53	+	TF	+
TYR	-	-	-
CNN2	-	-	-
ACTA2	-	-	-
INTS10	-	-	-
GPN1	-	-	-
GTF2F2	+	-	+
INTS6	-	-	-
INTS5	-	-	-
CD244	-	-	-
PGF	-	-	-
RPTOR	-	-	-
RB1CC1	-	-	-
ATG4B	-	-	-
GABARAPL2	-	-	-
ATG9A	-	-	-
ATG9B	-	-	-
ATG13	-	-	-
MTOR	-	-	-
ATG4A	-	-	-
CCL24	-	-	-
TMED11	-	-	-
FHL2	+	-	+
TNFRSF13B	-	-	-
PSEN2	-	-	-
TRAF3IP2	-	-	-
TNFAIP3	+	-	+
MAP3K14	-	-	-
RIPK1	-	-	-
TAB1	-	-	-
PELI3	-	-	-
IRF7	+	TF	+
TNFRSF11A	-	-	-
TRAF2	-	-	-
ITCH	-	-	-
NTRK1	-	-	-
TNFRSF1A	-	-	-
MAP3K15	-	-	-
TLR3	-	-	-
NLRX1	-	-	-
MAVS	-	-	-
RIPK2	-	-	-
TAB3	-	-	-
MAP3K7	-	-	-
STUB1	-	-	-
EDA2R	-	-	-
TLR4	-	-	-
PSEN1	-	-	-
MALT1	-	-	-
TIFA	-	-	-
TICAM1	-	-	-
SYK	-	-	-
TLR7	-	-	-
TICAM2	-	-	-
TAX1BP1	-	-	-
TLR9	-	-	-
PELI1	-	-	-
IL1RL2	-	-	-
MAP3K5	-	-	-
ECSIT	-	-	-
ARRB2	-	-	-
SQSTM1	-	-	-
MAP3K1	-	-	-
TAB2	-	-	-
MAP4K4	-	-	-
TIRAP	-	-	-
PRPS2	-	-	-
PRPS1	-	-	-
GRAP	-	-	-
